Id,Ente,Cig,Tipologia,Criterio,Procedura,Oggetto,Importo,"Data scadenza"
1,"Comune di Petilia Policastro",6060056469,Servizi,"Offerta economicamente pi&ugrave; vantaggiosa",Aperta,"Comune di Petilia Policastro &ndash; Servizio refezione scolastica per la durata di due anni solari (2015 e 2016).",625000,"28/01/2015 12:00:00"
2,"Comune di Crotone",6105389662,Lavori,"Solo prezzo",Aperta,"COMUNE DI CROTONE - POR CALABRIA - FESR 2007/2013 - ASSE II ENERGIA. Obiettivo specifico 2.1. - Linea di Intervento 2.1.1.1. - Azioni per la realizzazione di impianti per la produzione di energia da fonti rinnovabili. Progetto: Impianto fotovoltaico da 94,176 KWP a servizio del Comune di Crotone.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",395159.30000000005,"02/03/2015 12:00:00"
4,"Comune di Crotone",60899902BB,Lavori,"Solo prezzo",Aperta,"COMUNE DI CROTONE. POR CALABRIA - FESR 2007/2013 - ASSE II ENERGIA. Obiettivo specifico 2.1. - Linea di Intervento 2.1.1.1. - Azioni per la realizzazione di impianti per la produzione di energia da fonti rinnovabili. Progetto: Impianto fotovoltaico da 97,44 KWP da installare sulla copertura della scuola media statale Alcmeone di Crotone",411624.27,"03/03/2015 12:00:00"
9,"Comune di Cir&ograve;",58185080B3,Servizi,"Offerta economicamente pi&ugrave; vantaggiosa",Aperta,"AFFIDAMENTO A TERZI DEL SERVIZIO DI REFEZIONE SCOLASTICA &ndash; ANNO SOLARE 2015 -. COMUNE DI CIRO&#39; MARINA",239200,"05/03/2015 12:00:00"
7,"Comune di San Mauro Marchesato",ZF9127C815,Servizi,"Solo prezzo",Aperta,"SERVIZIO RACCOLTA DIFFERENZIATA",32175,"06/03/2015 12:00:00"
10,"Comune di Crotone",6125036B98,Servizi,"Offerta economicamente pi&ugrave; vantaggiosa",Aperta,"Comune di CROTONE . Servizio di Assistenza Domiciliare Integrata (A.D.I.) per anziani ultrasessantacinquenni non autosufficienti e Servizio di assistenza domiciliare per persone ultrasessantacinquenni non autosufficienti, non in A.D.I., da attuarsi nel Distretto socio-assistenziale di Crotone nell&rsquo;ambito dei Fondi del Piano di azione e coesione (PAC) assegnati dal Ministero dell&rsquo;Interno. CIG: 6125036B98<br />
&nbsp;",619347.78,"10/03/2015 12:00:00"
12,"Comune di Crotone",61198850DE,Lavori,"Solo prezzo",Aperta,"POR&nbsp; CALABRIA - &ndash; FESR 2007/2013 &ndash; Obiettivo Operativo 5.2.1 &ndash; Prog. &ldquo;Circuito delle Aree Archeologiche Urbane&rdquo; Arkeo-Urbe.<br />
Lavori di valorizzazione delle aree archeologiche urbane nei siti: &ldquo;Banca popolare di Crotone, Municipio, Mura Bizantine&rdquo;.",334375.67,"23/03/2015 12:00:00"
13,"Comune di Crotone",6128021AE5,Lavori,"Solo prezzo",Aperta,"COMUNE DI CROTONE.&nbsp;&nbsp; &ldquo;Realizzazione strada prevista dal PRG all&rsquo;interno dell&rsquo;area di trasformazione 4.3 in localit&agrave; Tufolo-Farina, tratto compreso tra la Via Saffo e la Cooperativa &ldquo;La Fedelissima&rdquo;.",173013.38,"24/03/2015 12:00:00"
17,"Comune di Caccuri",52486570C7,Lavori,"Solo prezzo",Negoziata,"COMUNE DI CACCURI. Recupero patrimonio edilizio esistente da destinare a Edilizia Residenziale Pubblica (ex Legge n.179/92).&nbsp;&nbsp; LAVORI:&nbsp; Intervento in Via Convento &ndash; Intervento in Porta Piccola.&nbsp;<br />
PROCEDURA NEGOZIATA - solo per imprese gi&agrave; invitate.",148225.25,"25/03/2015 12:00:00"
11,"Comune di Santa Severina",6145609CF8,Lavori,"Solo prezzo",Aperta,"PSR 2007/2013 - Asse 2 - Misura 226 - Lavori di interventi preventivi contro gli incendi boschivi in localit&agrave; Monte Fuscaldo",130544.84,"26/03/2015 12:00:00"
